county_name,owning_jurisdiction,total_miles,total_lane_miles
ULSTER,12 Local Parks,0.5,1.0
ULSTER,74 Army,0.1,0.2
ULSTER,63 Bureau of Fish and Wildlife,0.0,0.1
WARREN,03 Town,683.9,1335.4
WARREN,01 NYSDOT,273.9,576.2
WARREN,02 County,244.3,496.9
WARREN,04 City or village,69.4,136.9
WARREN,90 Public - Unclaimed,7.5,14.6
WARREN,21 Other State agencies,7.3,13.9
WARREN,26 Private or Restricted Access,6.2,9.8
WARREN,40 Other Public Instrumentality,1.2,2.5
WARREN,12 Local Parks,1.1,2.1
WARREN,11 State Parks,0.4,0.8
WARREN,41 Local Service,0.4,0.4
WARREN,25 Other local agencies,0.2,0.4
WASHINGTON,03 Town,968.8,1868.5
WASHINGTON,02 County,284.6,569.2
WASHINGTON,01 NYSDOT,232.5,465.4
WASHINGTON,04 City or village,77.4,152.0
WASHINGTON,26 Private or Restricted Access,2.8,4.9
WASHINGTON,21 Other State agencies,3.0,4.4
WASHINGTON,90 Public - Unclaimed,2.0,3.5
WAYNE,03 Town,856.0,1706.9
WAYNE,02 County,402.7,806.6
WAYNE,01 NYSDOT,174.5,376.7
WAYNE,04 City or village,99.3,197.9
WAYNE,21 Other State agencies,3.2,6.3
WAYNE,26 Private or Restricted Access,0.9,1.8
WESTCHESTER,03 Town,1450.4,2894.6
WESTCHESTER,04 City or village,1344.1,2804.5
WESTCHESTER,01 NYSDOT,612.5,1812.1
WESTCHESTER,02 County,145.3,368.1
WESTCHESTER,31 NYS Thruway,78.9,184.4
WESTCHESTER,90 Public - Unclaimed,78.6,143.5
WESTCHESTER,21 Other State agencies,20.0,36.2
WESTCHESTER,40 Other Public Instrumentality,15.1,29.4
WESTCHESTER,26 Private or Restricted Access,15.4,28.4
WESTCHESTER,12 Local Parks,11.3,23.5
WESTCHESTER,11 State Parks,4.2,8.0
WESTCHESTER,91 Public Restricted,0.3,0.5
WESTCHESTER,32 Other Toll Authority,0.2,0.4
WYOMING,03 Town,609.3,1206.1
WYOMING,02 County,240.9,481.8
WYOMING,01 NYSDOT,205.1,414.8
WYOMING,04 City or village,49.0,97.7
WYOMING,11 State Parks,7.2,14.5
WYOMING,21 Other State agencies,5.9,11.0
WYOMING,26 Private or Restricted Access,0.6,1.0
WYOMING,25 Other local agencies,0.1,0.2
YATES,03 Town,478.8,950.2
YATES,02 County,179.9,359.8
YATES,01 NYSDOT,107.8,218.1
YATES,04 City or village,33.8,67.3
YATES,11 State Parks,4.9,9.9
YATES,26 Private or Restricted Access,0.6,1.2
YATES,74 Army,0.0,0.1
